 36 , 102306016  ,      45
 34 , 102207429  ,      30
 20 ,            ,      48
 33 , 101356042  ,      23
 22 , 102306009  ,      16
 15 , 102306043  ,      75
 5 ,            ,      20
 15 , 102306076  ,      47
 15 , 101306078  ,       2
 21 , 102306037  ,      44
 35 , 102306045  ,      40
 18 , 102306081  ,      61
 27 , 102306060  ,      36
 21 , 102306052  ,      42
 26 , 102306074  ,      38
 26 , 102306072  ,      15
 23 ,            ,      66
 30 , 103356006  ,       8
 25 ,            ,      69
 33 , 102306028  ,      32
 22 , 102306007  ,      14
 25 , 102301003  ,      35
 7 ,            ,      79
 10 ,            ,      59
 12 , 102306061  ,      72
 17 , 102306040  ,      84
 17 , 102306087  ,      70
 22 , 101306043  ,      67
 24 , 103356044  ,       7
 24 , 102306029  ,      53
 29 , 102306005  ,      34
 27 ,            ,      64
 12 , 102306038  ,      77
 12 ,            ,      74
 21 , 102306086  ,      41
 16 , 102306023  ,      26
 7 , 101304007  ,      85
 29 , 102306017  ,      65
 18 , 102306065  ,     119
 26 , 103356040  ,      29
 9 , 100208122  ,     120
 18 , 102306091  ,      60
 29 , 102306071  ,      31
 13 ,            ,      83
 24 ,            ,       4
 13 ,            ,      73
 27 ,            ,      56
 21 , 102306046  ,      55
 14 , 102306012  ,      80
 12 , 102306048  ,      76
 18 , 102306084  ,      24
 15 , 102306022  ,      27
 28 , 102306088  ,      62
 9 , 102306063  ,      82
 25 ,            ,      58
 15 , 102306053  ,      21
 24 , 102306002  ,      10
 35 , 102306055  ,      71
 2 ,            ,      86
 29 , 102306049  ,      33
 36 , 102306025  ,      49
 22 , 102306014  ,      51
 23 , 102306057  ,      22
 15 , 102306036  ,      28
 31 , 102306001  ,      13
 25 , 102306079  ,      43
 25 , 102306082  ,      46
 27 , 102306006  ,      57
 20 , 102306070  ,      52
 1 ,            ,     121
 15 ,            ,      19
 30 , 101304052  ,      25
 26 , 102306080  ,      37
 23 , 103306101  ,      63
 10 ,            ,      78
 4 , 102356003  ,       1
 21 ,            ,      68
 19 , 102306024  ,      17
 27 , 102306008  ,       3
 34 , 102306077  ,      12
 7 , 102306004  ,      18
 30 , 102306085  ,      50
 35 , 102306093  ,      54
